work_order_id,asset_id,location_id,problem_code,problem_description,created_date,closed_date,technician_id,priority,cost,resolution_code,asset_category,asset_age_category,resolution_hours,season_flag
WO-02078,ASSET-058,LOC-27,ELEC-011,Lighting panel fault,2024-02-27 22:00:00,2024-02-27 23:54:00,GN-208,Critical,477.07,RESET,General,old,1.9,winter
WO-00129,ASSET-014,LOC-14,FIRE-006,Suppression valve issue,2024-02-28 00:00:00,2024-02-28 02:45:36,BM-230,High,963.07,INSPECTED,BMS,new,2.76,winter
WO-03355,ASSET-124,LOC-49,ELEC-011,Lighting panel fault,2024-02-28 00:00:00,2024-02-28 02:25:48,BM-571,High,423.14,REPLACED,BMS,old,2.43,winter
WO-03541,ASSET-067,LOC-25,SEC-004,Access reader failure,2024-02-28 02:00:00,2024-02-28 03:18:36,BM-269,Medium,322.92,INSPECTED,BMS,mid,1.31,winter
WO-04167,ASSET-055,LOC-09,STRC-004,Ceiling tile leak stain,2024-02-28 04:00:00,2024-02-28 06:30:36,LF-173,Critical,629.87,,Lift,new,2.51,winter
WO-02986,ASSET-350,LOC-16,GEN-005,Furniture repair,2024-02-28 06:00:00,2024-02-28 08:52:48,FR-276,Low,693.18,REPLACED,Fire,old,2.88,winter
WO-04689,ASSET-325,LOC-23,HVAC-010,Airflow imbalance,2024-02-28 07:00:00,2024-02-28 08:00:36,,Low,158.35,PATCHED,General,mid,1.01,winter
WO-04695,ASSET-008,LOC-13,PLMB-003,Drain clog,2024-02-28 11:00:00,2024-02-28 13:22:48,GN-794,Medium,426.72,REPLACED,General,new,2.38,winter
WO-01305,ASSET-432,LOC-47,PLMB-003,Drain clog,2024-02-28 20:00:00,2024-02-28 23:48:00,BM-850,High,579.1,PATCHED,BMS,old,3.8,winter
WO-00605,ASSET-248,LOC-47,WATR-002,Pump cavitation,2024-02-29 03:00:00,2024-02-29 08:07:48,PL-805,High,250.68,INSPECTED,Plumbing,old,5.13,winter
WO-03558,ASSET-315,LOC-22,ELEC-015,Generator warning alarm,2024-02-29 06:00:00,2024-02-29 08:39:00,PL-925,High,442.58,REPLACED,Plumbing,mid,2.65,winter
WO-04230,ASSET-495,LOC-12,PARK-004,Barrier gate fault,2024-02-29 17:00:00,2024-02-29 17:52:12,EL-906,Critical,344.74,,Electrical,new,0.87,winter
WO-00901,ASSET-377,LOC-16,FIRE-002,Detector false alarm,2024-02-29 20:00:00,2024-03-01 00:38:24,SC-348,Critical,165.28,RESET,Security,mid,4.64,winter
WO-02103,ASSET-256,LOC-46,BMS-009,Setpoint drift,2024-02-29 23:00:00,2024-03-01 02:18:00,GN-447,High,300.61,PATCHED,General,new,3.3,winter
WO-02036,ASSET-160,LOC-30,SEC-004,Access reader failure,2024-03-01 00:00:00,2024-03-01 02:18:00,BM-365,Low,392.2,,BMS,old,2.3,spring
WO-00141,ASSET-015,LOC-15,BMS-003,Sensor communication fault,2024-03-01 00:00:00,2024-03-01 02:47:24,HV-744,Medium,946.49,CLEANED,HVAC,old,2.79,spring
WO-03517,ASSET-048,LOC-24,ELEC-015,Generator warning alarm,2024-03-01 03:00:00,2024-03-01 05:54:36,EL-507,Medium,492.89,PATCHED,Electrical,old,2.91,spring
WO-04977,ASSET-075,LOC-42,GEN-005,Furniture repair,2024-03-01 08:00:00,2024-03-01 11:18:36,LF-495,Low,502.33,PATCHED,Lift,old,3.31,spring
WO-02169,ASSET-392,LOC-45,STRC-001,Door closer failure,2024-03-01 08:00:00,2024-03-01 11:12:36,SC-883,Low,420.04,,Security,mid,3.21,spring
WO-02355,ASSET-397,LOC-50,ROOF-003,Roof drain blockage,2024-03-01 15:00:00,2024-03-01 18:33:36,EL-104,Low,631.35,PATCHED,Electrical,old,3.56,spring
WO-03390,ASSET-015,LOC-36,PLMB-007,Pipe leak,2024-03-01 15:00:00,2024-03-01 19:45:00,EL-770,Critical,355.22,RESET,Electrical,new,4.75,spring
WO-01505,ASSET-076,LOC-07,PARK-004,Barrier gate fault,2024-03-01 18:00:00,2024-03-01 20:57:00,PL-559,Medium,461.49,REPLACED,Plumbing,old,2.95,spring
WO-02271,ASSET-214,LOC-06,PARK-004,Barrier gate fault,2024-03-01 18:00:00,2024-03-01 22:10:12,EL-493,Critical,258.71,REPLACED,Electrical,new,4.17,spring
WO-04439,ASSET-245,LOC-05,STRC-004,Ceiling tile leak stain,2024-03-01 22:00:00,2024-03-02 02:31:12,LF-453,Medium,476.09,PATCHED,Lift,new,4.52,spring
WO-02231,ASSET-074,LOC-24,ELEC-011,Lighting panel fault,2024-03-01 23:00:00,2024-03-02 01:57:00,HV-238,Low,180.94,,HVAC,mid,2.95,spring
WO-00051,ASSET-006,LOC-06,PLMB-010,Restroom backup,2024-03-02 00:00:00,2024-03-02 02:16:12,PL-629,High,678.47,RESET,Plumbing,old,2.27,spring
WO-00062,ASSET-007,LOC-07,ELEC-007,Circuit trip,2024-03-02 00:00:00,2024-03-02 02:37:48,EL-789,Medium,726.16,RESET,Electrical,mid,2.63,spring
WO-01746,ASSET-056,LOC-31,IT-005,UPS battery alert,2024-03-02 00:00:00,2024-03-02 03:50:24,HV-702,Critical,750.22,INSPECTED,HVAC,old,3.84,spring
WO-00299,ASSET-017,LOC-19,CUST-001,Tenant comfort complaint,2024-03-02 02:00:00,2024-03-02 03:31:48,GN-518,Medium,352.22,REPLACED,General,old,1.53,spring
WO-00386,ASSET-048,LOC-03,ROOF-003,Roof drain blockage,2024-03-02 04:00:00,2024-03-02 08:49:12,BM-337,Critical,521.66,PATCHED,BMS,mid,4.82,spring
WO-00890,ASSET-152,LOC-13,LIFT-008,Control panel reset,2024-03-02 04:00:00,2024-03-02 05:49:48,GN-255,Critical,396.91,REPLACED,General,old,1.83,spring
WO-00579,ASSET-028,LOC-30,ELEC-007,Circuit trip,2024-03-02 09:00:00,2024-03-02 12:49:12,BM-770,Low,358.52,RESET,BMS,mid,3.82,spring
WO-01839,ASSET-399,LOC-49,WATR-002,Pump cavitation,2024-03-02 09:00:00,2024-03-02 14:03:00,BM-902,High,357.11,PATCHED,BMS,old,5.05,spring
WO-01946,ASSET-084,LOC-30,FIRE-002,Detector false alarm,2024-03-02 14:00:00,2024-03-02 16:40:12,SC-874,Critical,483.17,REPLACED,Security,new,2.67,spring
WO-04538,ASSET-258,LOC-31,WATR-002,Pump cavitation,2024-03-02 18:00:00,2024-03-02 22:09:36,LF-237,Low,85.0,RESET,Lift,new,4.16,spring
WO-02105,ASSET-484,LOC-42,PLMB-010,Restroom backup,2024-03-02 22:00:00,2024-03-03 01:43:48,EL-250,Critical,473.86,RESET,Electrical,new,3.73,spring
WO-03283,ASSET-154,LOC-10,HVAC-010,Airflow imbalance,2024-03-02 22:00:00,2024-03-03 01:24:36,HV-978,Critical,575.8,,HVAC,mid,3.41,spring
WO-01542,ASSET-105,LOC-27,BMS-003,Sensor communication fault,2024-03-02 23:00:00,2024-03-03 01:37:48,BM-213,High,344.08,REPLACED,BMS,mid,2.63,spring
WO-02095,ASSET-163,LOC-20,PLMB-003,Drain clog,2024-03-03 06:00:00,2024-03-03 09:40:12,GN-333,Low,634.11,REPLACED,General,mid,3.67,spring
WO-00823,ASSET-034,LOC-31,BMS-003,Sensor communication fault,2024-03-03 10:00:00,2024-03-03 11:36:36,SC-129,Critical,287.08,REPLACED,Security,new,1.61,spring
WO-00801,ASSET-339,LOC-42,IT-005,UPS battery alert,2024-03-03 12:00:00,2024-03-03 12:30:00,HV-254,Low,570.84,,HVAC,mid,0.5,spring
WO-04312,ASSET-252,LOC-30,BMS-003,Sensor communication fault,2024-03-03 13:00:00,2024-03-03 17:18:36,LF-641,Medium,280.93,RESET,Lift,mid,4.31,spring
WO-03934,ASSET-295,LOC-43,LIFT-005,Cabin leveling fault,2024-03-03 13:00:00,2024-03-03 15:59:24,EL-720,Low,354.88,PATCHED,Electrical,old,2.99,spring
WO-04267,ASSET-236,LOC-42,LIFT-005,Cabin leveling fault,2024-03-03 19:00:00,2024-03-03 23:35:24,BM-267,Critical,338.48,PATCHED,BMS,new,4.59,spring
WO-00002,ASSET-001,LOC-01,HVAC-001,Cooling failure,2024-03-04 00:00:00,2024-03-04 02:57:00,PL-328,High,437.33,RESET,Plumbing,mid,2.95,spring
WO-00023,ASSET-003,LOC-03,HVAC-010,Airflow imbalance,2024-03-04 00:00:00,2024-03-04 02:34:12,LF-334,High,494.84,REPLACED,Lift,old,2.57,spring
WO-00392,ASSET-422,LOC-26,PLMB-007,Pipe leak,2024-03-04 07:00:00,2024-03-04 10:31:48,LF-481,Low,636.1,,Lift,old,3.53,spring
WO-04632,ASSET-119,LOC-26,HVAC-001,Cooling failure,2024-03-04 08:00:00,2024-03-04 10:43:48,LF-840,Medium,581.19,INSPECTED,Lift,new,2.73,spring
WO-02954,ASSET-172,LOC-40,HVAC-001,Cooling failure,2024-03-04 14:00:00,2024-03-04 18:12:36,SC-358,Low,416.58,PATCHED,Security,new,4.21,spring
WO-02983,ASSET-397,LOC-49,PARK-004,Barrier gate fault,2024-03-04 14:00:00,2024-03-04 17:53:24,EL-176,Critical,470.23,PATCHED,Electrical,new,3.89,spring
WO-01407,ASSET-356,LOC-10,FIRE-006,Suppression valve issue,2024-03-04 16:00:00,2024-03-04 19:12:36,SC-661,Low,410.97,REPLACED,Security,mid,3.21,spring
WO-04487,ASSET-174,LOC-15,LIFT-005,Cabin leveling fault,2024-03-04 16:00:00,2024-03-04 21:29:24,GN-896,Critical,327.51,,General,mid,5.49,spring
WO-03302,ASSET-112,LOC-07,LIFT-005,Cabin leveling fault,2024-03-04 16:00:00,2024-03-04 20:04:48,EL-467,Critical,588.65,,Electrical,new,4.08,spring
WO-02910,ASSET-486,LOC-22,BMS-003,Sensor communication fault,2024-03-04 18:00:00,2024-03-04 21:03:36,FR-792,Low,443.92,INSPECTED,Fire,new,3.06,spring
WO-03692,ASSET-110,LOC-30,GEN-001,General handyman request,2024-03-04 22:00:00,2024-03-05 00:15:00,BM-526,Medium,375.21,RESET,BMS,old,2.25,spring
WO-02957,ASSET-108,LOC-35,PLMB-007,Pipe leak,2024-03-05 03:00:00,2024-03-05 04:51:00,PL-815,Low,497.22,INSPECTED,Plumbing,old,1.85,spring
WO-01522,ASSET-083,LOC-34,PLMB-007,Pipe leak,2024-03-05 05:00:00,2024-03-05 07:22:48,FR-934,Medium,589.15,INSPECTED,Fire,old,2.38,spring
WO-03866,ASSET-117,LOC-35,PLMB-010,Restroom backup,2024-03-05 07:00:00,2024-03-05 08:45:36,GN-220,High,353.91,REPLACED,General,new,1.76,spring
WO-04826,ASSET-363,LOC-47,BMS-009,Setpoint drift,2024-03-05 13:00:00,2024-03-05 14:34:12,BM-237,High,378.7,PATCHED,BMS,new,1.57,spring
WO-00344,ASSET-188,LOC-21,PLMB-003,Drain clog,2024-03-05 18:00:00,2024-03-05 20:37:48,EL-301,Critical,343.34,RESET,Electrical,mid,2.63,spring
WO-02521,ASSET-150,LOC-38,ROOF-003,Roof drain blockage,2024-03-06 03:00:00,2024-03-06 05:51:36,FR-124,High,372.08,PATCHED,Fire,new,2.86,spring
WO-01250,ASSET-032,LOC-14,SEC-004,Access reader failure,2024-03-06 04:00:00,2024-03-06 04:33:36,BM-333,Medium,453.87,,BMS,old,0.56,spring
WO-01898,ASSET-291,LOC-04,IT-002,Network cabinet overheat,2024-03-06 04:00:00,2024-03-06 07:07:12,LF-942,Low,607.16,REPLACED,Lift,old,3.12,spring
WO-04171,ASSET-080,LOC-13,FIRE-002,Detector false alarm,2024-03-06 07:00:00,2024-03-06 08:10:48,EL-656,Low,460.43,RESET,Electrical,new,1.18,spring
WO-03590,ASSET-336,LOC-11,PLMB-003,Drain clog,2024-03-06 22:00:00,2024-03-07 01:57:36,PL-614,Low,509.8,INSPECTED,Plumbing,mid,3.96,spring
WO-04283,ASSET-274,LOC-20,ELEC-007,Circuit trip,2024-03-07 00:00:00,2024-03-07 03:27:00,PL-164,Critical,602.4,REPLACED,Plumbing,old,3.45,spring
WO-00442,ASSET-234,LOC-47,LIFT-002,Door malfunction,2024-03-07 01:00:00,2024-03-07 05:08:24,BM-632,High,430.08,INSPECTED,BMS,old,4.14,spring
WO-00393,ASSET-415,LOC-09,PARK-004,Barrier gate fault,2024-03-07 06:00:00,2024-03-07 09:13:12,GN-194,High,452.45,RESET,General,new,3.22,spring
WO-02333,ASSET-247,LOC-35,ELEC-011,Lighting panel fault,2024-03-07 08:00:00,2024-03-07 08:54:36,SC-522,Medium,169.58,RESET,Security,new,0.91,spring
WO-04869,ASSET-159,LOC-49,HVAC-010,Airflow imbalance,2024-03-07 10:00:00,2024-03-07 11:31:48,LF-781,Critical,572.72,PATCHED,Lift,new,1.53,spring
WO-03309,ASSET-304,LOC-12,IT-002,Network cabinet overheat,2024-03-07 13:00:00,2024-03-07 17:01:12,LF-597,Critical,382.2,REPLACED,Lift,old,4.02,spring
WO-01731,ASSET-305,LOC-35,PLMB-007,Pipe leak,2024-03-07 16:00:00,2024-03-07 17:32:24,BM-686,Low,504.19,,BMS,old,1.54,spring
WO-04204,ASSET-377,LOC-02,LAND-002,Landscape irrigation issue,2024-03-07 18:00:00,2024-03-07 20:55:12,PL-436,Low,458.09,INSPECTED,Plumbing,new,2.92,spring
WO-04233,ASSET-198,LOC-32,WATR-002,Pump cavitation,2024-03-07 21:00:00,2024-03-08 02:05:24,BM-138,Low,294.4,PATCHED,BMS,old,5.09,spring
WO-02018,ASSET-354,LOC-38,HVAC-004,Compressor short cycling,2024-03-08 00:00:00,2024-03-08 03:33:36,GN-958,High,778.21,RESET,General,old,3.56,spring
WO-00612,ASSET-174,LOC-25,ELEC-015,Generator warning alarm,2024-03-08 04:00:00,2024-03-08 06:57:36,HV-741,Medium,305.83,,HVAC,old,2.96,spring
WO-03005,ASSET-287,LOC-27,STRC-001,Door closer failure,2024-03-08 08:00:00,2024-03-08 09:19:12,HV-302,Medium,618.66,REPLACED,HVAC,new,1.32,spring
WO-02329,ASSET-142,LOC-25,CUST-001,Tenant comfort complaint,2024-03-08 08:00:00,2024-03-08 11:17:24,FR-848,Low,555.38,PATCHED,Fire,old,3.29,spring
WO-01615,ASSET-314,LOC-42,SEC-004,Access reader failure,2024-03-08 12:00:00,2024-03-08 14:48:00,HV-385,Low,596.72,PATCHED,HVAC,old,2.8,spring
WO-02180,ASSET-077,LOC-34,PLMB-010,Restroom backup,2024-03-08 14:00:00,2024-03-08 18:33:36,SC-269,Critical,495.52,,Security,new,4.56,spring
WO-03989,ASSET-141,LOC-37,ROOF-003,Roof drain blockage,2024-03-08 21:00:00,2024-03-09 01:36:36,GN-295,Low,336.59,INSPECTED,General,mid,4.61,spring
WO-02161,ASSET-452,LOC-45,STRC-004,Ceiling tile leak stain,2024-03-09 11:00:00,2024-03-09 14:01:48,BM-189,High,486.22,,BMS,old,3.03,spring
WO-01398,ASSET-406,LOC-50,FIRE-002,Detector false alarm,2024-03-09 14:00:00,2024-03-09 18:16:12,LF-382,Medium,543.18,PATCHED,Lift,new,4.27,spring
WO-01397,ASSET-406,LOC-50,FIRE-002,Detector false alarm,2024-03-09 14:00:00,2024-03-09 18:16:12,LF-382,Medium,543.18,PATCHED,Lift,new,4.27,spring
WO-04856,ASSET-004,LOC-33,STRC-004,Ceiling tile leak stain,2024-03-09 17:00:00,2024-03-09 19:28:48,EL-599,Low,453.84,INSPECTED,Electrical,old,2.48,spring
WO-03579,ASSET-486,LOC-10,PLMB-007,Pipe leak,2024-03-09 18:00:00,2024-03-09 20:18:00,PL-756,Critical,318.36,,Plumbing,mid,2.3,spring
WO-01444,ASSET-060,LOC-36,PLMB-010,Restroom backup,2024-03-09 21:00:00,2024-03-09 22:17:24,SC-140,Medium,521.26,REPLACED,Security,new,1.29,spring
WO-02693,ASSET-220,LOC-38,PARK-004,Barrier gate fault,2024-03-10 04:00:00,2024-03-10 07:06:00,SC-206,Low,313.08,REPLACED,Security,old,3.1,spring
WO-03383,ASSET-489,LOC-45,ELEC-007,Circuit trip,2024-03-10 08:00:00,2024-03-10 10:10:48,BM-634,Critical,697.6,,BMS,old,2.18,spring
WO-00586,ASSET-095,LOC-21,SEC-008,Camera offline,2024-03-10 17:00:00,2024-03-10 18:39:36,PL-959,Medium,361.88,RESET,Plumbing,mid,1.66,spring
WO-00545,ASSET-057,LOC-41,PLMB-007,Pipe leak,2024-03-11 05:00:00,2024-03-11 07:26:24,BM-566,Critical,649.65,PATCHED,BMS,old,2.44,spring
WO-02971,ASSET-327,LOC-19,GEN-001,General handyman request,2024-03-11 11:00:00,2024-03-11 15:16:48,SC-509,Critical,692.95,REPLACED,Security,old,4.28,spring
WO-02057,ASSET-016,LOC-42,HVAC-010,Airflow imbalance,2024-03-11 11:00:00,2024-03-11 15:38:24,EL-370,High,557.7,RESET,Electrical,mid,4.64,spring
WO-00335,ASSET-072,LOC-41,STRC-004,Ceiling tile leak stain,2024-03-11 13:00:00,2024-03-11 14:06:00,GN-410,Medium,497.13,PATCHED,General,old,1.1,spring
WO-04636,ASSET-089,LOC-50,HVAC-001,Cooling failure,2024-03-11 13:00:00,2024-03-11 16:56:24,SC-403,High,320.31,RESET,Security,new,3.94,spring
WO-03132,ASSET-429,LOC-31,SEC-004,Access reader failure,2024-03-11 23:00:00,2024-03-12 03:31:48,PL-624,Critical,320.58,RESET,Plumbing,old,4.53,spring
WO-03171,ASSET-011,LOC-12,PARK-004,Barrier gate fault,2024-03-12 01:00:00,2024-03-12 05:48:00,PL-743,Critical,267.06,INSPECTED,Plumbing,new,4.8,spring
WO-01050,ASSET-371,LOC-20,PLMB-003,Drain clog,2024-03-12 15:00:00,2024-03-12 19:31:48,SC-381,High,544.33,PATCHED,Security,mid,4.53,spring
WO-00657,ASSET-197,LOC-45,ELEC-011,Lighting panel fault,2024-03-12 17:00:00,2024-03-12 21:00:00,HV-937,Critical,540.62,RESET,HVAC,old,4.0,spring
WO-04257,ASSET-406,LOC-13,PLMB-010,Restroom backup,2024-03-12 21:00:00,2024-03-13 00:18:00,PL-381,High,454.31,PATCHED,Plumbing,mid,3.3,spring
WO-00074,ASSET-008,LOC-08,ELEC-011,Lighting panel fault,2024-03-13 00:00:00,2024-03-13 02:07:48,LF-294,High,703.66,CLEANED,Lift,new,2.13,spring
WO-04620,ASSET-261,LOC-22,HVAC-010,Airflow imbalance,2024-03-13 03:00:00,2024-03-13 06:48:36,GN-216,Medium,452.13,PATCHED,General,old,3.81,spring
WO-03551,ASSET-383,LOC-11,PLMB-007,Pipe leak,2024-03-13 09:00:00,2024-03-13 11:58:12,SC-122,High,688.85,RESET,Security,old,2.97,spring
WO-04622,ASSET-405,LOC-31,BMS-003,Sensor communication fault,2024-03-13 17:00:00,2024-03-13 19:23:24,FR-499,Low,625.03,INSPECTED,Fire,mid,2.39,spring
WO-00052,ASSET-006,LOC-06,PLMB-010,Restroom backup,2024-03-14 00:00:00,2024-03-14 02:17:24,PL-330,High,653.19,REPLACED,Plumbing,old,2.29,spring
WO-04436,ASSET-229,LOC-27,FIRE-006,Suppression valve issue,2024-03-14 04:00:00,2024-03-14 09:19:48,SC-760,Low,689.83,,Security,mid,5.33,spring
WO-01206,ASSET-114,LOC-39,BMS-009,Setpoint drift,2024-03-14 11:00:00,2024-03-14 11:39:00,HV-282,Medium,532.96,PATCHED,HVAC,mid,0.65,spring
WO-04794,ASSET-049,LOC-01,HVAC-001,Cooling failure,2024-03-14 17:00:00,2024-03-14 18:36:36,SC-639,High,712.12,REPLACED,Security,mid,1.61,spring
WO-00635,ASSET-370,LOC-32,HVAC-001,Cooling failure,2024-03-14 20:00:00,2024-03-15 01:27:36,EL-773,Critical,342.84,REPLACED,Electrical,new,5.46,spring
WO-00371,ASSET-008,LOC-17,WATR-002,Pump cavitation,2024-03-15 00:00:00,2024-03-15 03:33:36,PL-320,Low,445.3,RESET,Plumbing,mid,3.56,spring
WO-00763,ASSET-027,LOC-22,SEC-008,Camera offline,2024-03-15 03:00:00,2024-03-15 06:17:24,HV-340,Critical,507.7,PATCHED,HVAC,old,3.29,spring
WO-01013,ASSET-343,LOC-06,FIRE-002,Detector false alarm,2024-03-15 07:00:00,2024-03-15 08:33:36,GN-457,Critical,704.35,INSPECTED,General,old,1.56,spring
WO-02206,ASSET-339,LOC-40,ELEC-007,Circuit trip,2024-03-15 21:00:00,2024-03-15 23:35:24,GN-423,Critical,208.1,RESET,General,new,2.59,spring
WO-00476,ASSET-490,LOC-12,LIFT-005,Cabin leveling fault,2024-03-15 22:00:00,2024-03-16 01:28:48,LF-633,Low,561.82,,Lift,new,3.48,spring
WO-02845,ASSET-271,LOC-08,ELEC-015,Generator warning alarm,2024-03-16 01:00:00,2024-03-16 04:40:12,BM-605,Critical,513.57,REPLACED,BMS,old,3.67,spring
WO-04088,ASSET-094,LOC-26,PLMB-003,Drain clog,2024-03-16 20:00:00,2024-03-16 23:10:48,PL-415,Medium,704.48,RESET,Plumbing,old,3.18,spring
WO-04399,ASSET-400,LOC-41,FIRE-002,Detector false alarm,2024-03-17 01:00:00,2024-03-17 03:14:24,HV-973,Critical,617.78,INSPECTED,HVAC,new,2.24,spring
WO-01949,ASSET-103,LOC-15,PLMB-007,Pipe leak,2024-03-17 06:00:00,2024-03-17 06:58:12,EL-834,Medium,245.19,RESET,Electrical,old,0.97,spring
WO-02689,ASSET-310,LOC-30,ELEC-007,Circuit trip,2024-03-17 08:00:00,2024-03-17 12:13:48,HV-977,High,562.78,REPLACED,HVAC,mid,4.23,spring
WO-00493,ASSET-417,LOC-38,LAND-002,Landscape irrigation issue,2024-03-18 00:00:00,2024-03-18 01:54:00,HV-692,Critical,253.35,,HVAC,new,1.9,spring
WO-02341,ASSET-132,LOC-35,IT-005,UPS battery alert,2024-03-18 03:00:00,2024-03-18 06:07:12,LF-414,Medium,297.58,REPLACED,Lift,old,3.12,spring
WO-04150,ASSET-336,LOC-50,ROOF-003,Roof drain blockage,2024-03-18 05:00:00,2024-03-18 07:01:48,EL-328,Critical,704.21,PATCHED,Electrical,mid,2.03,spring
WO-01382,ASSET-388,LOC-15,PLMB-010,Restroom backup,2024-03-18 06:00:00,2024-03-18 12:24:00,FR-266,Critical,642.73,,Fire,mid,6.4,spring
WO-02694,ASSET-166,LOC-11,STRC-001,Door closer failure,2024-03-18 08:00:00,2024-03-18 09:39:36,EL-924,Critical,649.44,RESET,Electrical,new,1.66,spring
WO-02176,ASSET-213,LOC-31,IT-002,Network cabinet overheat,2024-03-18 14:00:00,2024-03-18 15:58:12,PL-614,Low,903.81,INSPECTED,Plumbing,old,1.97,spring
WO-00011,ASSET-002,LOC-02,HVAC-004,Compressor short cycling,2024-03-19 00:00:00,2024-03-19 02:23:24,EL-467,High,409.36,REPLACED,Electrical,new,2.39,spring
WO-01752,ASSET-079,LOC-46,PLMB-007,Pipe leak,2024-03-19 03:00:00,2024-03-19 03:30:00,LF-558,High,384.35,,Lift,old,0.5,spring
WO-00877,ASSET-210,LOC-29,SEC-004,Access reader failure,2024-03-19 03:00:00,2024-03-19 05:07:48,FR-268,High,437.82,REPLACED,Fire,old,2.13,spring
WO-01570,ASSET-257,LOC-40,PLMB-010,Restroom backup,2024-03-19 04:00:00,2024-03-19 09:18:00,BM-907,Low,544.72,PATCHED,BMS,mid,5.3,spring
WO-01439,ASSET-128,LOC-01,BMS-009,Setpoint drift,2024-03-19 06:00:00,2024-03-19 09:00:00,GN-496,Medium,648.95,INSPECTED,General,new,3.0,spring
WO-01591,ASSET-414,LOC-08,WATR-006,Low pressure alert,2024-03-19 09:00:00,2024-03-19 11:24:36,PL-991,High,295.76,RESET,Plumbing,old,2.41,spring
WO-02811,ASSET-116,LOC-05,LIFT-008,Control panel reset,2024-03-19 09:00:00,2024-03-19 10:10:12,HV-957,Low,519.39,,HVAC,new,1.17,spring
WO-04495,ASSET-012,LOC-31,STRC-004,Ceiling tile leak stain,2024-03-19 11:00:00,2024-03-19 16:18:36,LF-117,Critical,450.33,,Lift,new,5.31,spring
WO-04763,ASSET-044,LOC-06,PLMB-007,Pipe leak,2024-03-19 11:00:00,2024-03-19 14:04:12,LF-892,Critical,190.71,INSPECTED,Lift,old,3.07,spring
WO-03482,ASSET-257,LOC-49,ELEC-007,Circuit trip,2024-03-19 12:00:00,2024-03-19 13:24:00,PL-475,Medium,570.62,RESET,Plumbing,new,1.4,spring
WO-00500,ASSET-109,LOC-10,STRC-001,Door closer failure,2024-03-19 16:00:00,2024-03-19 18:48:36,BM-291,Medium,342.75,PATCHED,BMS,old,2.81,spring
WO-02262,ASSET-018,LOC-38,WATR-006,Low pressure alert,2024-03-20 08:00:00,2024-03-20 11:45:36,SC-857,High,368.76,PATCHED,Security,new,3.76,spring
WO-03860,ASSET-433,LOC-40,LAND-002,Landscape irrigation issue,2024-03-20 10:00:00,2024-03-20 13:47:24,GN-695,Critical,616.12,RESET,General,mid,3.79,spring
WO-04959,ASSET-221,LOC-08,ELEC-007,Circuit trip,2024-03-20 21:00:00,2024-03-20 22:27:00,FR-934,Low,399.98,INSPECTED,Fire,new,1.45,spring
WO-01001,ASSET-161,LOC-42,BMS-003,Sensor communication fault,2024-03-20 22:00:00,2024-03-21 01:27:36,GN-757,Critical,297.25,INSPECTED,General,new,3.46,spring
WO-04615,ASSET-160,LOC-31,FIRE-002,Detector false alarm,2024-03-20 23:00:00,2024-03-21 03:36:36,HV-785,Critical,515.35,RESET,HVAC,new,4.61,spring
WO-03504,ASSET-026,LOC-43,HVAC-010,Airflow imbalance,2024-03-20 23:00:00,2024-03-21 01:15:36,GN-502,High,332.36,,General,mid,2.26,spring
WO-01889,ASSET-071,LOC-37,PARK-004,Barrier gate fault,2024-03-21 03:00:00,2024-03-21 04:01:48,FR-812,Critical,564.0,REPLACED,Fire,mid,1.03,spring
WO-01891,ASSET-470,LOC-34,WATR-006,Low pressure alert,2024-03-21 10:00:00,2024-03-21 12:49:48,BM-735,High,318.91,,BMS,mid,2.83,spring
WO-00319,ASSET-290,LOC-16,FIRE-002,Detector false alarm,2024-03-21 11:00:00,2024-03-21 13:48:00,GN-813,Medium,374.2,PATCHED,General,old,2.8,spring
WO-02508,ASSET-058,LOC-10,IT-002,Network cabinet overheat,2024-03-21 23:00:00,2024-03-22 01:37:12,PL-344,High,320.77,,Plumbing,new,2.62,spring
WO-03730,ASSET-382,LOC-28,GEN-005,Furniture repair,2024-03-21 23:00:00,2024-03-22 03:37:12,BM-478,Critical,394.14,PATCHED,BMS,mid,4.62,spring
WO-00102,ASSET-011,LOC-11,LIFT-005,Cabin leveling fault,2024-03-22 00:00:00,2024-03-22 02:33:00,PL-136,High,873.98,CLEANED,Plumbing,new,2.55,spring
WO-03655,ASSET-383,LOC-03,FIRE-002,Detector false alarm,2024-03-22 01:00:00,2024-03-22 04:42:00,SC-857,Low,607.28,REPLACED,Security,mid,3.7,spring
WO-03379,ASSET-004,LOC-09,HVAC-001,Cooling failure,2024-03-22 03:00:00,2024-03-22 04:36:00,FR-824,Medium,519.79,,Fire,old,1.6,spring
WO-00535,ASSET-161,LOC-21,LIFT-005,Cabin leveling fault,2024-03-22 05:00:00,2024-03-22 08:21:00,LF-768,High,491.16,PATCHED,Lift,old,3.35,spring
WO-01747,ASSET-228,LOC-01,WATR-002,Pump cavitation,2024-03-22 05:00:00,2024-03-22 09:58:12,FR-921,High,116.64,INSPECTED,Fire,new,4.97,spring
WO-00537,ASSET-053,LOC-07,PLMB-010,Restroom backup,2024-03-22 06:00:00,2024-03-22 08:36:36,,Critical,601.16,,Security,new,2.61,spring
WO-02645,ASSET-110,LOC-33,WATR-006,Low pressure alert,2024-03-22 18:00:00,2024-03-22 21:37:12,HV-117,Medium,279.85,PATCHED,HVAC,new,3.62,spring
